date,ticket_type,severity,status,description,reported_by
2023-10-08,Security Alert,Medium,In Progress,Network Issue reported by user.,system
2024-04-10,Hardware Failure,Medium,Open,Email Problem reported by user.,employee02
2024-03-19,Network Issue,Medium,Closed,Hardware Failure reported by user.,it_support
2023-09-17,VPN Access,Critical,Closed,System Outage reported by user.,system
2022-11-21,Network Issue,Critical,Open,Network Issue reported by user.,employee02
2022-02-27,Hardware Failure,Critical,Open,VPN Access reported by user.,employee02
2022-10-13,Network Issue,Critical,Closed,System Outage reported by user.,admin
2023-03-15,Software Install,High,Open,System Outage reported by user.,security_team
2024-01-18,Password Reset,Medium,Closed,System Outage reported by user.,employee01
2022-01-23,Security Alert,Critical,In Progress,Password Reset reported by user.,security_team
2023-12-20,System Outage,Low,Closed,Email Problem reported by user.,it_support
2024-03-16,System Outage,High,Open,Security Alert reported by user.,admin
2022-02-26,VPN Access,Low,Open,Email Problem reported by user.,security_team
2023-05-23,Email Problem,Low,Open,Security Alert reported by user.,system
2023-11-26,System Outage,Medium,Open,VPN Access reported by user.,admin
2022-08-18,Software Install,Critical,In Progress,Email Problem reported by user.,it_support
2022-11-25,Password Reset,High,In Progress,System Outage reported by user.,system
2023-06-04,Network Issue,Low,In Progress,Security Alert reported by user.,employee01
2023-08-26,Network Issue,Low,Resolved,System Outage reported by user.,it_support
2022-01-14,Security Alert,Medium,Resolved,System Outage reported by user.,security_team
2023-01-20,VPN Access,Critical,Closed,Password Reset reported by user.,employee01
2022-06-08,VPN Access,Critical,Open,Hardware Failure reported by user.,employee01
2022-03-21,Password Reset,Low,In Progress,Security Alert reported by user.,employee02
2023-04-25,Hardware Failure,Medium,In Progress,Hardware Failure reported by user.,employee02
2024-02-21,VPN Access,Medium,Open,Software Install reported by user.,employee01
2023-06-13,Hardware Failure,Critical,Open,Network Issue reported by user.,employee02
2023-09-21,System Outage,Critical,Open,VPN Access reported by user.,employee02
2024-03-02,Security Alert,Medium,In Progress,VPN Access reported by user.,admin
2022-11-04,Network Issue,Critical,Closed,Password Reset reported by user.,employee02
2024-06-08,Network Issue,Low,Closed,Password Reset reported by user.,security_team
2022-12-16,System Outage,Medium,In Progress,System Outage reported by user.,employee01
2023-12-31,Hardware Failure,Critical,Resolved,Network Issue reported by user.,system
2022-08-17,Password Reset,Low,Resolved,Hardware Failure reported by user.,employee01
2022-06-20,System Outage,Low,In Progress,VPN Access reported by user.,employee02
2024-02-10,System Outage,Medium,Resolved,System Outage reported by user.,it_support
2023-07-26,System Outage,High,Resolved,Security Alert reported by user.,admin
