date,incident_type,severity,status,description,reported_by
2023-05-03,SQL Injection,Low,Resolved,Phishing incident detected.,security_team
2023-06-12,Malware,Critical,Resolved,Malware incident detected.,charlie
2024-05-13,Bruteforce Attack,Critical,Investigating,Unauthorized Access incident detected.,charlie
2024-01-25,SQL Injection,Critical,Open,Data Leak incident detected.,alice
2024-10-14,Data Leak,Critical,Resolved,Bruteforce Attack incident detected.,admin
2024-06-04,DDoS,Low,Resolved,Ransomware incident detected.,security_team
2023-04-30,Phishing,High,Open,DDoS incident detected.,security_team
2024-09-27,Ransomware,Medium,Investigating,DDoS incident detected.,security_team
2024-10-29,Ransomware,High,Closed,SQL Injection incident detected.,alice
2024-07-29,Unauthorized Access,Low,Closed,Unauthorized Access incident detected.,charlie
2023-05-04,SQL Injection,Low,Open,SQL Injection incident detected.,admin
2023-06-24,Data Leak,Medium,Closed,Phishing incident detected.,security_team
2024-04-07,Ransomware,Low,Open,Data Leak incident detected.,bob
2024-08-14,Ransomware,Low,Open,SQL Injection incident detected.,system
2024-11-05,DDoS,Critical,Investigating,Unauthorized Access incident detected.,charlie
2023-09-23,DDoS,High,Investigating,Ransomware incident detected.,bob
2024-05-31,Malware,Critical,Resolved,Ransomware incident detected.,system
2024-01-03,Ransomware,High,Closed,Malware incident detected.,bob
2023-01-31,SQL Injection,Low,Open,Ransomware incident detected.,system
2023-04-09,DDoS,Critical,Closed,DDoS incident detected.,alice
2023-09-19,Unauthorized Access,Medium,Investigating,Unauthorized Access incident detected.,bob
2024-01-21,Data Leak,High,Resolved,SQL Injection incident detected.,bob
2024-04-24,Phishing,Medium,Closed,Bruteforce Attack incident detected.,charlie
2023-05-30,Unauthorized Access,Low,Investigating,Ransomware incident detected.,alice
2023-11-02,Ransomware,High,Closed,Phishing incident detected.,charlie
2024-06-29,Phishing,Medium,Resolved,SQL Injection incident detected.,charlie
2023-09-29,Bruteforce Attack,Critical,Investigating,SQL Injection incident detected.,system
